nohup: ignoring input
SUCCESS: scrape tt1038686
SUCCESS: scrape tt2719848
SUCCESS: scrape tt3450958
SUCCESS: scrape tt0290334
SUCCESS: scrape tt0448157
SUCCESS: scrape tt0944835
SUCCESS: scrape tt1964418
SUCCESS: scrape tt4815122
SUCCESS: scrape tt0918940
SUCCESS: scrape tt1055369
SUCCESS: scrape tt0425061
SUCCESS: scrape tt1506999
SUCCESS: scrape tt6205872
SUCCESS: scrape tt0440963
SUCCESS: scrape tt2908446
SUCCESS: scrape tt3110958
SUCCESS: scrape tt3410834
ERROR: tt1536537
SUCCESS: scrape tt1046173
SUCCESS: scrape tt2091935
SUCCESS: scrape tt1121096
SUCCESS: scrape tt6133466
SUCCESS: scrape tt2304933
SUCCESS: scrape tt5461944
SUCCESS: scrape tt0945513
SUCCESS: scrape tt0955308
SUCCESS: scrape tt0372183
SUCCESS: scrape tt1155076
SUCCESS: scrape tt0311429
SUCCESS: scrape tt0378109
SUCCESS: scrape tt1591479
SUCCESS: scrape tt1293847
SUCCESS: scrape tt4572514
SUCCESS: scrape tt0468492
SUCCESS: scrape tt1959563
SUCCESS: scrape tt1538403
SUCCESS: scrape tt2294449
SUCCESS: scrape tt5177088
SUCCESS: scrape tt0259324
SUCCESS: scrape tt3949660
SUCCESS: scrape tt0441773
SUCCESS: scrape tt6850820
SUCCESS: scrape tt0246460
SUCCESS: scrape tt0167190
SUCCESS: scrape tt2058673
SUCCESS: scrape tt1899353
SUCCESS: scrape tt1735898
SUCCESS: scrape tt0266915
SUCCESS: scrape tt4769836
SUCCESS: scrape tt1241317
SUCCESS: scrape tt3640424
SUCCESS: scrape tt1650554
SUCCESS: scrape tt0329101
SUCCESS: scrape tt0311113
SUCCESS: scrape tt0227538
SUCCESS: scrape tt1243957
SUCCESS: scrape tt0409847
SUCCESS: scrape tt2034800
SUCCESS: scrape tt0765443
SUCCESS: scrape tt1390411
SUCCESS: scrape tt3014866
SUCCESS: scrape tt1596350
SUCCESS: scrape tt0424774
SUCCESS: scrape tt0499448
SUCCESS: scrape tt3300542
SUCCESS: scrape tt2592614
SUCCESS: scrape tt0808151
SUCCESS: scrape tt1959490
SUCCESS: scrape tt0257568
SUCCESS: scrape tt0481499
SUCCESS: scrape tt0453467
SUCCESS: scrape tt1601913
SUCCESS: scrape tt2556874
SUCCESS: scrape tt1032755
SUCCESS: scrape tt0390022
SUCCESS: scrape tt1592525
SUCCESS: scrape tt1535108
SUCCESS: scrape tt0910936
SUCCESS: scrape tt1860357
SUCCESS: scrape tt1137450
SUCCESS: scrape tt1583421
SUCCESS: scrape tt1823672
SUCCESS: scrape tt3717252
SUCCESS: scrape tt2226597
SUCCESS: scrape tt0462499
SUCCESS: scrape tt0449010
SUCCESS: scrape tt1590193
SUCCESS: scrape tt1517260
SUCCESS: scrape tt1213663
ERROR: tt3201640
SUCCESS: scrape tt1205537
SUCCESS: scrape tt1764651
SUCCESS: scrape tt0287978
SUCCESS: scrape tt1037705
SUCCESS: scrape tt6738136
SUCCESS: scrape tt1220719
SUCCESS: scrape tt3647498
SUCCESS: scrape tt1433108
SUCCESS: scrape tt0343818
SUCCESS: scrape tt0346491
SUCCESS: scrape tt1386703
SUCCESS: scrape tt1411250
SUCCESS: scrape tt1272878
SUCCESS: scrape tt1077258
SUCCESS: scrape tt0318649
SUCCESS: scrape tt1194173
SUCCESS: scrape tt0383060
SUCCESS: scrape tt0758774
SUCCESS: scrape tt1235522
SUCCESS: scrape tt0253556
SUCCESS: scrape tt1234721
SUCCESS: scrape tt0370263
SUCCESS: scrape tt0829150
SUCCESS: scrape tt1509767
SUCCESS: scrape tt4046784
SUCCESS: scrape tt4717402
SUCCESS: scrape tt1407084
SUCCESS: scrape tt1428538
SUCCESS: scrape tt1490017
SUCCESS: scrape tt1206543
SUCCESS: scrape tt0395699
SUCCESS: scrape tt0477080
SUCCESS: scrape tt6306064
SUCCESS: scrape tt2103281
SUCCESS: scrape tt0480255
SUCCESS: scrape tt1528100
SUCCESS: scrape tt1172570
SUCCESS: scrape tt0811080
SUCCESS: scrape tt0489099
SUCCESS: scrape tt1023111
SUCCESS: scrape tt1210819
SUCCESS: scrape tt1318514
SUCCESS: scrape tt0362270
SUCCESS: scrape tt1075417
SUCCESS: scrape tt0963966
SUCCESS: scrape tt0442933
SUCCESS: scrape tt2387499
SUCCESS: scrape tt0475394
SUCCESS: scrape tt0462322
SUCCESS: scrape tt2381991
SUCCESS: scrape tt1034032
SUCCESS: scrape tt0429493
SUCCESS: scrape tt0293564
SUCCESS: scrape tt0280486
SUCCESS: scrape tt1606378
SUCCESS: scrape tt0433035
SUCCESS: scrape tt0983193
SUCCESS: scrape tt0486576
ERROR: tt3276924
SUCCESS: scrape tt0406375
SUCCESS: scrape tt0430357
SUCCESS: scrape tt1464540
SUCCESS: scrape tt2369135
SUCCESS: scrape tt2209764
SUCCESS: scrape tt1374989
SUCCESS: scrape tt0765010
SUCCESS: scrape tt0244244
SUCCESS: scrape tt1335975
SUCCESS: scrape tt7137380
SUCCESS: scrape tt0465234
SUCCESS: scrape tt0295701
SUCCESS: scrape tt4244998
ERROR: tt2287851
SUCCESS: scrape tt6116856
SUCCESS: scrape tt1478964
SUCCESS: scrape tt1781922
SUCCESS: scrape tt1075747
SUCCESS: scrape tt1568911
SUCCESS: scrape tt0285823
SUCCESS: scrape tt0373469
SUCCESS: scrape tt1098327
SUCCESS: scrape tt0985694
SUCCESS: scrape tt1085492
SUCCESS: scrape tt0314353
SUCCESS: scrape tt0359013
SUCCESS: scrape tt1321870
SUCCESS: scrape tt6921996
SUCCESS: scrape tt0187738
SUCCESS: scrape tt4651410
SUCCESS: scrape tt0448011
ERROR: tt5001754
SUCCESS: scrape tt4073790
SUCCESS: scrape tt4116284
SUCCESS: scrape tt1397514
SUCCESS: scrape tt1188729
ERROR: tt5246700
SUCCESS: scrape tt0775440
SUCCESS: scrape tt1618442
SUCCESS: scrape tt0452608
SUCCESS: scrape tt0393109
ERROR: tt5057140
SUCCESS: scrape tt0430105
SUCCESS: scrape tt0372588
SUCCESS: scrape tt2140379
SUCCESS: scrape tt1646971
SUCCESS: scrape tt1734493
SUCCESS: scrape tt0277296
SUCCESS: scrape tt0457400
SUCCESS: scrape tt1921064
SUCCESS: scrape tt2265171
SUCCESS: scrape tt2072233
SUCCESS: scrape tt7060344
SUCCESS: scrape tt2402101
SUCCESS: scrape tt1448755
SUCCESS: scrape tt1686821
SUCCESS: scrape tt0295178
SUCCESS: scrape tt1217613
ERROR: tt2106651
SUCCESS: scrape tt2057392
ERROR: tt5034474
SUCCESS: scrape tt1211956
SUCCESS: scrape tt0325703
SUCCESS: scrape tt6349302
SUCCESS: scrape tt0416236
SUCCESS: scrape tt1855325
SUCCESS: scrape tt0305357
SUCCESS: scrape tt1297919
SUCCESS: scrape tt1608290
SUCCESS: scrape tt1680140
SUCCESS: scrape tt1512235
SUCCESS: scrape tt0318627
SUCCESS: scrape tt1731701
SUCCESS: scrape tt1599348
SUCCESS: scrape tt0411477
SUCCESS: scrape tt2368619
SUCCESS: scrape tt0457495
SUCCESS: scrape tt5884234
SUCCESS: scrape tt1424381
SUCCESS: scrape tt0327850
SUCCESS: scrape tt2172934
SUCCESS: scrape tt0159273
SUCCESS: scrape tt2267968
SUCCESS: scrape tt1815862
SUCCESS: scrape tt1502404
SUCCESS: scrape tt1602613
SUCCESS: scrape tt0479143
SUCCESS: scrape tt3381008
SUCCESS: scrape tt0892782
SUCCESS: scrape tt1712261
SUCCESS: scrape tt0873886
SUCCESS: scrape tt1401152
SUCCESS: scrape tt3045616
SUCCESS: scrape tt0758730
SUCCESS: scrape tt4190530
SUCCESS: scrape tt1524137
ERROR: tt3922798
SUCCESS: scrape tt1727776
SUCCESS: scrape tt0844479
SUCCESS: scrape tt2582576
SUCCESS: scrape tt1657507
SUCCESS: scrape tt2315596
SUCCESS: scrape tt1038919
SUCCESS: scrape tt2404463
SUCCESS: scrape tt5657856
SUCCESS: scrape tt0340163
SUCCESS: scrape tt2025690
ERROR: tt7515456
SUCCESS: scrape tt3317234
SUCCESS: scrape tt0389722
SUCCESS: scrape tt1220634
SUCCESS: scrape tt6905696
SUCCESS: scrape tt0253754
SUCCESS: scrape tt1124037
SUCCESS: scrape tt0266987
SUCCESS: scrape tt0268695
SUCCESS: scrape tt1038988
SUCCESS: scrape tt0486946
SUCCESS: scrape tt0770752
ERROR: tt2978102
SUCCESS: scrape tt1114740
SUCCESS: scrape tt1111422
SUCCESS: scrape tt2002718
SUCCESS: scrape tt3522806
SUCCESS: scrape tt1646987
SUCCESS: scrape tt1935194
SUCCESS: scrape tt2361317
SUCCESS: scrape tt1059786
SUCCESS: scrape tt1403241
SUCCESS: scrape tt0300556
SUCCESS: scrape tt0834001
SUCCESS: scrape tt1924435
SUCCESS: scrape tt0493405
SUCCESS: scrape tt1904996
SUCCESS: scrape tt0817538
SUCCESS: scrape tt0401855
SUCCESS: scrape tt0421054
SUCCESS: scrape tt0357277
SUCCESS: scrape tt4158096
SUCCESS: scrape tt2631186
ERROR: tt5959980
SUCCESS: scrape tt1446192
SUCCESS: scrape tt0881320
SUCCESS: scrape tt0316356
SUCCESS: scrape tt1821694
SUCCESS: scrape tt1648179
SUCCESS: scrape tt0475944
SUCCESS: scrape tt0257076
SUCCESS: scrape tt0882977
SUCCESS: scrape tt0373051
SUCCESS: scrape tt4520364
SUCCESS: scrape tt0337921
SUCCESS: scrape tt2975578
SUCCESS: scrape tt0465494
SUCCESS: scrape tt0417148
SUCCESS: scrape tt0472399
SUCCESS: scrape tt0402022
SUCCESS: scrape tt2106361
SUCCESS: scrape tt0293662
SUCCESS: scrape tt0443649
SUCCESS: scrape tt1302011
SUCCESS: scrape tt2017038
SUCCESS: scrape tt5709188
SUCCESS: scrape tt0327554
SUCCESS: scrape tt0351977
SUCCESS: scrape tt0365907
SUCCESS: scrape tt0419706
SUCCESS: scrape tt2446042
SUCCESS: scrape tt0990407
SUCCESS: scrape tt0479884
SUCCESS: scrape tt1527788
SUCCESS: scrape tt4139124
SUCCESS: scrape tt1308728
SUCCESS: scrape tt1103153
SUCCESS: scrape tt0246894
SUCCESS: scrape tt2231253
SUCCESS: scrape tt1611224
SUCCESS: scrape tt0406816
SUCCESS: scrape tt1258972
SUCCESS: scrape tt1043726
SUCCESS: scrape tt2513074
SUCCESS: scrape tt0432021
SUCCESS: scrape tt0433362
SUCCESS: scrape tt1547234
SUCCESS: scrape tt1838544
SUCCESS: scrape tt0299977
SUCCESS: scrape tt2937898
SUCCESS: scrape tt0844286
SUCCESS: scrape tt1496025
SUCCESS: scrape tt4348012
SUCCESS: scrape tt3321300
SUCCESS: scrape tt2679042
SUCCESS: scrape tt0485985
SUCCESS: scrape tt2402157
SUCCESS: scrape tt1397280
SUCCESS: scrape tt8820590
SUCCESS: scrape tt4094724
SUCCESS: scrape tt0355295
SUCCESS: scrape tt0435705
SUCCESS: scrape tt6148156
SUCCESS: scrape tt3296908
SUCCESS: scrape tt0409182
SUCCESS: scrape tt0498380
SUCCESS: scrape tt3205376
SUCCESS: scrape tt0365686
SUCCESS: scrape tt1893256
SUCCESS: scrape tt2638144
SUCCESS: scrape tt1634122
SUCCESS: scrape tt4849438
SUCCESS: scrape tt4853102
SUCCESS: scrape tt0472033
SUCCESS: scrape tt2011311
SUCCESS: scrape tt1600195
SUCCESS: scrape tt1568338
SUCCESS: scrape tt6977240
SUCCESS: scrape tt3316948
SUCCESS: scrape tt0237534
ERROR: tt6864046
SUCCESS: scrape tt7961060
SUCCESS: scrape tt0462504
SUCCESS: scrape tt3838992
SUCCESS: scrape tt2888046
SUCCESS: scrape tt4776998
SUCCESS: scrape tt7137846
SUCCESS: scrape tt1071875
SUCCESS: scrape tt6019206
SUCCESS: scrape tt7690670
SUCCESS: scrape tt1179034
SUCCESS: scrape tt2717822
SUCCESS: scrape tt1748227
SUCCESS: scrape tt0274166
SUCCESS: scrape tt0865556
SUCCESS: scrape tt1598828
SUCCESS: scrape tt0164184
SUCCESS: scrape tt6017942
SUCCESS: scrape tt1214962
SUCCESS: scrape tt2788732
SUCCESS: scrape tt1139592
ERROR: tt4642044
ERROR: tt6243274
SUCCESS: scrape tt1985949
SUCCESS: scrape tt0431197
SUCCESS: scrape tt0277941
ERROR: tt6237612
SUCCESS: scrape tt4302938
SUCCESS: scrape tt5591666
SUCCESS: scrape tt1186367
SUCCESS: scrape tt7448180
SUCCESS: scrape tt1190539
SUCCESS: scrape tt3721964
SUCCESS: scrape tt1385867
SUCCESS: scrape tt0386140
SUCCESS: scrape tt3072482
ERROR: tt3212232
SUCCESS: scrape tt0804461
SUCCESS: scrape tt2515034
SUCCESS: scrape tt1034314
SUCCESS: scrape tt0483607
SUCCESS: scrape tt5885106
SUCCESS: scrape tt4703048
SUCCESS: scrape tt0460780
SUCCESS: scrape tt2467046
SUCCESS: scrape tt0272020
SUCCESS: scrape tt7838252
SUCCESS: scrape tt1567609
SUCCESS: scrape tt2097307
SUCCESS: scrape tt5360952
SUCCESS: scrape tt1724970
SUCCESS: scrape tt0264395
SUCCESS: scrape tt5813916
SUCCESS: scrape tt2334871
SUCCESS: scrape tt0280609
SUCCESS: scrape tt1366365
SUCCESS: scrape tt0479997
SUCCESS: scrape tt1020558
ERROR: tt6749318
SUCCESS: scrape tt0986263
SUCCESS: scrape tt0338337
SUCCESS: scrape tt0338459
SUCCESS: scrape tt7424200
SUCCESS: scrape tt0421073
SUCCESS: scrape tt0316732
SUCCESS: scrape tt1517489
SUCCESS: scrape tt1549920
SUCCESS: scrape tt1121931
SUCCESS: scrape tt0228333
SUCCESS: scrape tt0398913
SUCCESS: scrape tt2199571
SUCCESS: scrape tt4951982
SUCCESS: scrape tt5607028
SUCCESS: scrape tt0433387
SUCCESS: scrape tt3450650
SUCCESS: scrape tt1124039
SUCCESS: scrape tt0167456
SUCCESS: scrape tt0426592
SUCCESS: scrape tt0471042
SUCCESS: scrape tt4218696
SUCCESS: scrape tt0418689
SUCCESS: scrape tt0286112
SUCCESS: scrape tt0446013
SUCCESS: scrape tt0292506
SUCCESS: scrape tt0181739
SUCCESS: scrape tt0462465
SUCCESS: scrape tt6547170
SUCCESS: scrape tt3095734
SUCCESS: scrape tt1622547
SUCCESS: scrape tt1185834
SUCCESS: scrape tt2967224
SUCCESS: scrape tt1082868
SUCCESS: scrape tt1166100
SUCCESS: scrape tt0375154
SUCCESS: scrape tt1742334
SUCCESS: scrape tt4262980
SUCCESS: scrape tt4694544
SUCCESS: scrape tt6513656
SUCCESS: scrape tt0300471
SUCCESS: scrape tt1386932
SUCCESS: scrape tt1093357
SUCCESS: scrape tt0287717
SUCCESS: scrape tt0385004
SUCCESS: scrape tt5080556
SUCCESS: scrape tt1181791
SUCCESS: scrape tt0364970
SUCCESS: scrape tt1712170
SUCCESS: scrape tt0269347
SUCCESS: scrape tt0327437
SUCCESS: scrape tt0290095
SUCCESS: scrape tt0831887
SUCCESS: scrape tt1418377
SUCCESS: scrape tt0271367
SUCCESS: scrape tt0404390
SUCCESS: scrape tt1408253
SUCCESS: scrape tt0296042
ERROR: tt6684714
SUCCESS: scrape tt0245803
SUCCESS: scrape tt6774786
SUCCESS: scrape tt1694021
SUCCESS: scrape tt0963178
SUCCESS: scrape tt0467197
SUCCESS: scrape tt0211443
SUCCESS: scrape tt1656186
SUCCESS: scrape tt5640450
SUCCESS: scrape tt0383222
SUCCESS: scrape tt2032572
SUCCESS: scrape tt0816436
SUCCESS: scrape tt1586752
SUCCESS: scrape tt3014284
SUCCESS: scrape tt0443274
SUCCESS: scrape tt0388482
